username,created_at_as_str,uri,api,unique_resource_name,unique_resource_id
Ishika_82,2022-06-03 17:07:48.598914,/task-page/14/2/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
Ishika_82,2022-06-03 17:08:12.687058,/api/feedback/199,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 2,TaskMap|199
Ishika_82,2022-06-03 17:08:12.783383,/task-page/14/2/3,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 3,TaskMap|187
ECHRA_02__58,2022-06-03 17:08:15.430459,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:09:48.483993,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:09:48.788746,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:09:56.080862,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:10:10.971599,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:10:15.171048,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:10:19.726384,/api/feedback/189,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
dreamer44_39,2022-06-03 17:10:19.909497,/task-page/14/3/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 2,TaskMap|190
ECHRA_02__58,2022-06-03 17:11:40.679132,/api/feedback/189,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:11:40.813170,/task-page/14/3/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 2,TaskMap|190
ECHRA_02__58,2022-06-03 17:12:01.741224,/situation/14/3/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:12:02.462687,/task-page/14/3/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 1,TaskMap|189
ECHRA_02__58,2022-06-03 17:12:07.218734,/task-page/14/3/2,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 2,TaskMap|190
Ishika_82,2022-06-03 17:13:17.759303,/api/feedback/187,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 3,TaskMap|187
Ishika_82,2022-06-03 17:13:17.847761,/task-page/14/2/4,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 4,TaskMap|188
ECHRA_02__58,2022-06-03 17:14:25.039180,/situation/14/3/3,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 3,TaskMap|194
ECHRA_02__58,2022-06-03 17:14:25.922614,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:16:27.759298,/api/feedback/190,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 2,TaskMap|190
dreamer44_39,2022-06-03 17:16:27.906771,/task-page/14/3/3,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 3,TaskMap|194
dreamer44_39,2022-06-03 17:18:01.122411,/api/feedback/194,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 3 | Title - Dream College Life Realisation-Day 3,TaskMap|194
dreamer44_39,2022-06-03 17:18:01.308378,/,ACCESSED DASHBOARD,NONE,NONE
dreamer44_39,2022-06-03 17:18:12.782974,/situation/14/4/1,ACCESSED SITUATION,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 1,TaskMap|185
dreamer44_39,2022-06-03 17:18:13.087871,/task-page/14/4/1,ACCESSED TASK_PAGE,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 4 | Title - The Power of Caring Community-Day 1,TaskMap|185
Ishika_82,2022-06-03 17:18:58.995228,/api/feedback/188,POSTED FEEDBACK_FOR_GOAL,Type - ONBOARDING | Field - Mindset DevelopmentTrack - Beginning of Exploration | Vedant Panchal-Week 2 | Title - Dream College Life Exploration-Day 4,TaskMap|188
Ishika_82,2022-06-03 17:18:59.107163,/,ACCESSED DASHBOARD,NONE,NONE
mohitverma0612_1,2022-06-03 17:26:27.186017,/task-page/10/1/3,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 3,TaskMap|327
mohitverma0612_1,2022-06-03 17:26:44.643578,/situation/10/1/8,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 8,TaskMap|330
mohitverma0612_1,2022-06-03 17:26:44.874314,/task-page/10/1/8,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 8,TaskMap|330
mohitverma0612_1,2022-06-03 17:27:00.446827,/situation/10/1/7,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 7,TaskMap|103
mohitverma0612_1,2022-06-03 17:27:00.645332,/task-page/10/1/7,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 7,TaskMap|103
mohitverma0612_1,2022-06-03 17:27:14.033624,/,ACCESSED DASHBOARD,NONE,NONE
mohitverma0612_1,2022-06-03 17:27:31.162756,/situation/10/1/1,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 1,TaskMap|325
mohitverma0612_1,2022-06-03 17:27:31.383242,/task-page/10/1/1,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 1,TaskMap|325
mohitverma0612_1,2022-06-03 17:27:37.394786,/situation/10/1/3,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 3,TaskMap|327
mohitverma0612_1,2022-06-03 17:27:37.614814,/task-page/10/1/3,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 3,TaskMap|327
mohitverma0612_1,2022-06-03 17:27:54.988980,/situation/10/1/4,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 4,TaskMap|328
mohitverma0612_1,2022-06-03 17:27:55.639812,/,ACCESSED DASHBOARD,NONE,NONE
mohitverma0612_1,2022-06-03 17:28:13.108875,/situation/10/1/1,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 1,TaskMap|325
mohitverma0612_1,2022-06-03 17:28:13.398423,/task-page/10/1/1,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 1,TaskMap|325
mohitverma0612_1,2022-06-03 17:28:20.429200,/situation/10/1/3,ACCESSED SITUATION,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 3,TaskMap|327
mohitverma0612_1,2022-06-03 17:28:20.912816,/task-page/10/1/3,ACCESSED TASK_PAGE,Type - CAREER | Field - CreativityTrack - Evaluation Project | Ram Bansal-Week 1 | Title - Design-Day 3,TaskMap|327
