id,created_at,username,uri,api,unique_resource_id
22109,2022-06-03 18:07:19.430573,mohitverma0612_1,/task-page/10/1/1,ACCESSED TASK_PAGE,TaskMap|325
22110,2022-06-03 18:07:29.739852,mohitverma0612_1,/situation/10/1/3,ACCESSED SITUATION,TaskMap|327
22111,2022-06-03 18:07:29.982211,mohitverma0612_1,/task-page/10/1/3,ACCESSED TASK_PAGE,TaskMap|327
22112,2022-06-03 18:08:13.745869,niteshmahawer1_49,/,ACCESSED DASHBOARD,NONE
22113,2022-06-03 18:08:37.351730,mohitverma0612_1,/task-page/10/1/3,ACCESSED TASK_PAGE,TaskMap|327
22114,2022-06-03 18:08:41.485458,adityan_47,/api/feedback/191,POSTED FEEDBACK_FOR_GOAL,TaskMap|191
22115,2022-06-03 18:08:41.584733,adityan_47,/task-page/14/1/3,ACCESSED TASK_PAGE,TaskMap|193
22116,2022-06-03 18:08:44.517616,mohitverma0612_1,/api/upload_career_task_submissions/228,POSTED TASK_SUBMISSION,Action|228
22117,2022-06-03 18:08:44.623252,mohitverma0612_1,/task-page/10/1/3,ACCESSED TASK_PAGE,TaskMap|327
22118,2022-06-03 18:08:49.827122,mohitverma0612_1,/api/feedback/327,POSTED FEEDBACK_FOR_GOAL,TaskMap|327
22119,2022-06-03 18:08:49.928662,mohitverma0612_1,/task-page/10/1/4,ACCESSED TASK_PAGE,TaskMap|328
22120,2022-06-03 18:09:31.174509,mohitverma0612_1,/api/feedback/328,POSTED FEEDBACK_FOR_GOAL,TaskMap|328
22121,2022-06-03 18:09:31.269760,mohitverma0612_1,/task-page/10/1/5,ACCESSED TASK_PAGE,TaskMap|101
22122,2022-06-03 18:10:05.456968,jai_s_96,/,ACCESSED DASHBOARD,NONE
22123,2022-06-03 18:10:19.384792,mohitverma0612_1,/task-page/10/1/6,ACCESSED TASK_PAGE,TaskMap|102
22124,2022-06-03 18:10:21.226903,mohitverma0612_1,/task-page/10/1/7,ACCESSED TASK_PAGE,TaskMap|103
22125,2022-06-03 18:10:29.551883,mohitverma0612_1,/task-page/10/1/8,ACCESSED TASK_PAGE,TaskMap|330
22126,2022-06-03 18:10:34.991422,jai_s_96,/situation/2/3/1,ACCESSED SITUATION,TaskMap|133
22127,2022-06-03 18:10:35.318247,mohitverma0612_1,/situation/10/1/9,ACCESSED SITUATION,TaskMap|329
22128,2022-06-03 18:10:35.450324,jai_s_96,/task-page/2/3/1,ACCESSED TASK_PAGE,TaskMap|133
22129,2022-06-03 18:10:35.591033,mohitverma0612_1,/,ACCESSED DASHBOARD,NONE
22130,2022-06-03 18:10:39.828233,mohitverma0612_1,/situation/10/1/1,ACCESSED SITUATION,TaskMap|325
22131,2022-06-03 18:10:40.014033,mohitverma0612_1,/task-page/10/1/1,ACCESSED TASK_PAGE,TaskMap|325
22132,2022-06-03 18:10:41.175128,jai_s_96,/situation/2/3/3,ACCESSED SITUATION,TaskMap|135
22133,2022-06-03 18:10:41.389449,jai_s_96,/task-page/2/3/3,ACCESSED TASK_PAGE,TaskMap|135
22134,2022-06-03 18:10:43.516065,mohitverma0612_1,/situation/10/1/8,ACCESSED SITUATION,TaskMap|330
22135,2022-06-03 18:10:43.697113,mohitverma0612_1,/task-page/10/1/8,ACCESSED TASK_PAGE,TaskMap|330
22136,2022-06-03 18:15:14.792790,ECHRA_02__58,/situation/14/3/2,ACCESSED SITUATION,TaskMap|190
22137,2022-06-03 18:15:14.917126,ECHRA_02__58,/task-page/14/3/2,ACCESSED TASK_PAGE,TaskMap|190
22138,2022-06-03 18:16:25.774928,ashitanihore,/,ACCESSED DASHBOARD,NONE
22139,2022-06-03 18:20:20.352569,adityan_47,/api/feedback/193,POSTED FEEDBACK_FOR_GOAL,TaskMap|193
22140,2022-06-03 18:20:20.451672,adityan_47,/,ACCESSED DASHBOARD,NONE
22141,2022-06-03 18:21:54.098436,sarthak_j_66,/,ACCESSED DASHBOARD,NONE
22142,2022-06-03 18:22:01.969529,sarthak_j_66,/leaderboard,ACCESSED LEADERBOARD,NONE
22143,2022-06-03 18:22:16.406271,sarthak_j_66,/,ACCESSED DASHBOARD,NONE
22144,2022-06-03 18:22:20.890561,sarthak_j_66,/situation/2/6/1,ACCESSED SITUATION,TaskMap|146
22145,2022-06-03 18:22:21.008977,sarthak_j_66,/task-page/2/6/1,ACCESSED TASK_PAGE,TaskMap|146
22146,2022-06-03 18:22:23.885199,sarthak_j_66,/situation/2/6/2,ACCESSED SITUATION,TaskMap|313
22147,2022-06-03 18:22:23.994180,sarthak_j_66,/task-page/2/6/2,ACCESSED TASK_PAGE,TaskMap|313
22148,2022-06-03 18:41:29.830228,mohitverma0612_1,/,ACCESSED DASHBOARD,NONE
22149,2022-06-03 18:41:39.057073,mohitverma0612_1,/,ACCESSED DASHBOARD,NONE
22150,2022-06-03 18:41:51.183978,mohitverma0612_1,/,ACCESSED DASHBOARD,NONE
22151,2022-06-03 18:42:20.119222,swapnil_512,/,ACCESSED DASHBOARD,NONE
22152,2022-06-03 18:42:29.567949,swapnil_512,/situation/2/6/1,ACCESSED SITUATION,TaskMap|146
22153,2022-06-03 18:42:29.678895,swapnil_512,/task-page/2/6/1,ACCESSED TASK_PAGE,TaskMap|146
22154,2022-06-03 18:42:36.173122,swapnil_512,/task-page/2/6/2,ACCESSED TASK_PAGE,TaskMap|313
22155,2022-06-03 18:43:08.998169,swapnil_512,/situation/2/6/3,ACCESSED SITUATION,TaskMap|314
22156,2022-06-03 18:43:09.134747,swapnil_512,/,ACCESSED DASHBOARD,NONE
22157,2022-06-03 18:43:16.365490,swapnil_512,/situation/2/6/1,ACCESSED SITUATION,TaskMap|146
22158,2022-06-03 18:43:16.475675,swapnil_512,/task-page/2/6/1,ACCESSED TASK_PAGE,TaskMap|146
22159,2022-06-03 18:43:20.888850,swapnil_512,/task-page/2/6/2,ACCESSED TASK_PAGE,TaskMap|313
22160,2022-06-03 18:44:38.751017,dreamer16_34,/,ACCESSED DASHBOARD,NONE
22161,2022-06-03 18:44:49.495532,dreamer16_34,/situation/14/2/1,ACCESSED SITUATION,TaskMap|183
22162,2022-06-03 18:44:49.614737,dreamer16_34,/task-page/14/2/1,ACCESSED TASK_PAGE,TaskMap|183
22163,2022-06-03 18:46:25.558142,mohitverma0612_1,/situation/10/1/1,ACCESSED SITUATION,TaskMap|325
22164,2022-06-03 18:46:25.717650,mohitverma0612_1,/task-page/10/1/1,ACCESSED TASK_PAGE,TaskMap|325
22165,2022-06-03 18:46:29.140571,mohitverma0612_1,/situation/10/1/8,ACCESSED SITUATION,TaskMap|330
22166,2022-06-03 18:46:29.282083,mohitverma0612_1,/task-page/10/1/8,ACCESSED TASK_PAGE,TaskMap|330
22167,2022-06-03 18:47:02.066553,sarthak_j_66,/api/upload_career_task_submissions/219,POSTED TASK_SUBMISSION,Action|219
22168,2022-06-03 18:47:02.185763,sarthak_j_66,/task-page/2/6/2,ACCESSED TASK_PAGE,TaskMap|313
22169,2022-06-03 18:47:08.418901,sarthak_j_66,/api/feedback/313,POSTED FEEDBACK_FOR_GOAL,TaskMap|313
22170,2022-06-03 18:47:08.497509,sarthak_j_66,/task-page/2/6/3,ACCESSED TASK_PAGE,TaskMap|314
22171,2022-06-03 18:50:18.730128,mohitverma0612_1,/api/upload_career_task_submissions/228,POSTED TASK_SUBMISSION,Action|228
22172,2022-06-03 18:50:18.866878,mohitverma0612_1,/task-page/10/1/3,ACCESSED TASK_PAGE,TaskMap|327
22173,2022-06-03 18:50:27.598294,mohitverma0612_1,/situation/10/1/8,ACCESSED SITUATION,TaskMap|330
22174,2022-06-03 18:50:27.741225,mohitverma0612_1,/task-page/10/1/8,ACCESSED TASK_PAGE,TaskMap|330
